"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-03-30","0.02",",,r",,,"15",",,r","28",",,r","-1",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-03-31","0.00","T,,r",,,"0",",,r","8",",,r","-9",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-01","0.00","T,,r",,,"-3",",,r","2",",,r","-8",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-02","0.00",",,r",,,"-5",",,r","9",",,r","-19",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-03","0.00",",,r",,,"2",",,r","22",",,r","-12",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-04","0.00",",,r",,,"16",",,r","27",",,r","1",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-05","0.00",",,r",,,"19",",,r","31",",,r","4",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-06","0.00","T,,r",,,"20",",,r","30",",,r","10",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-07","0.00","T,,r",,,"22",",,r","35",",,r","10",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-08","0.06",",,r",,,"30",",,r","34",",,r","27",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-09","0.00",",,r",,,"29",",,r","36",",,r","26",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-10","0.02",",,r",,,"38",",,r","41",",,r","33",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-11","0.10",",,r",,,"34",",,r","38",",,r","32",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-12","0.17",",,r",,,"34",",,r","37",",,r","30",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-13","0.00",",,r",,,"34",",,r","40",",,r","27",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-14","0.00",",,r","31.5",",,S","26",",,r","35",",,r","18",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-15","0.00","T,,r",,,"12",",,r","19",",,r","3",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-16","0.00",",,r",,,"11",",,r","25",",,r","-2",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-17","0.00","T,,r",,,"23",",,r","36",",,r","14",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-18","0.00",",,r",,,"36",",,r","47",",,r","26",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-19","0.00",",,r",,,"38",",,r","41",",,r","34",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-20","0.00","T,,r",,,"35",",,r","42",",,r","29",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-21","0.00",",,r",,,"39",",,r","44",",,r","35",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-22","0.00","T,,r",,,"42",",,r","46",",,r","39",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-23","0.00",",,r",,,"38",",,r","44",",,r","31",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-24","0.00","T,,r",,,"42",",,r","51",",,r","34",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-25","0.02",",,r",,,"44",",,r","49",",,r","38",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-26","0.00",",,r",,,"34",",,r","39",",,r","30",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-27","0.00","T,,r",,,"32",",,r","38",",,r","27",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-28","0.00","T,,r",,,"27",",,r","29",",,r","24",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-29","0.00","T,,r",,,"22",",,r","27",",,r","18",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-04-30","0.00","T,,r",,,"17",",,r","25",",,r","10",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-01","0.00","T,,r",,,"18",",,r","26",",,r","10",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-02","0.00","T,,r",,,"21",",,r","27",",,r","17",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-03","0.00",",,r",,,"24",",,r","34",",,r","16",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-04","0.00","T,,r",,,"33",",,r","37",",,r","31",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-05","0.00",",,r",,,"33",",,r","36",",,r","29",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-06","0.00","T,,r",,,"28",",,r","31",",,r","22",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-07","0.00",",,r",,,"30",",,r","36",",,r","25",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-08","0.00","T,,r",,,"34",",,r","42",",,r","28",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-09","0.02",",,r",,,"41",",,r","56",",,r","31",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-10","0.03",",,r",,,"43",",,r","54",",,r","35",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-11","0.02",",,r",,,"44",",,r","54",",,r","36",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-12","0.03",",,r",,,"34",",,r","41",",,r","30",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-13","0.00",",,r",,,"32",",,r","36",",,r","27",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-14","0.00",",,r",,,"35",",,r","41",",,r","29",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-15","0.01",",,r",,,"37",",,r","43",",,r","31",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-16","0.03",",,r",,,"31",",,r","40",",,r","27",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-17","0.00",",,r",,,"29",",,r","34",",,r","24",",,r"
