"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1983-02",,"0","14","4","14","19","12.5","1.25","59","3157","3.22",,"21.6","36.4","42.5","30.3",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1983-03",,"0","0","0","25","0","0.0","3.10","68","3809","10.54",,"0.0","44.0","50.3","37.7",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1983-04",,"17","0","0","34","0","0.8","4.31","85","4208","14.02",,"0.8","52.3","59.3","45.2",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1983-05",,"33","0","0","41","0","0.0","1.11","79","4374","4.61",,"0.0","60.1","68.1","52.2",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1983-06",,"287","0","0","52","0","0.0","1.46","95","4378","2.82",,"0.0","73.4","82.5","64.3",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1983-07",,"737","0","0","61","0","0.0","2.26","98","0","3.39",,"0.0","79.5","88.7","70.3",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1983-08",,"1131","0","0","59","0","0.0","2.79","96","0","7.26",,"0.0","77.7","85.8","69.6",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1983-09",,"1369","0","0","49","0","0.0","2.64","99","35","4.62",,"0.0","71.8","80.5","63.0",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1983-10",,"1402","0","0","36","0","0.0","3.40","84","290","8.63",,"0.0","57.8","64.9","50.8",,"280",,,"315",,"21.0",,,"34.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1983-11",,"1402","0","0","32","0","0.0","1.43","69","775","6.69",,"0.0","48.8","55.4","42.3",,"290",,,,,"23.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1983-12",,"1402","2","0","4","1","0.8","2.18","59","1701","9.77",,"1.6","35.1","41.3","29.0",,"260",,,"158",,"25.1",,,"49.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1984-01","9.6","0","15","3","8","6","4.2","0.60","57","2790","1.87",,"11.7","29.8","35.1","24.6",,"320",,,"315",,"23.0",,,"35.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1984-02","9.6","0","0","0","17","0","0.2","1.73","63","3497","4.86",,"0.2","40.6","46.8","34.4",,"30",,,"45",,"28.0",,,"50.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1984-03","11.0","0","7","5","13","7","5.1","2.31","58","4376","6.31",,"12.0","36.7","43.2","30.1",,"40",,,"45",,"34.9",,,"63.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1984-04","9.8","2","0","0","35","0","0.0","2.76","78","4772","6.62",,"0.0","51.9","59.5","44.2",,"50",,,"135",,"23.9",,,"46.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1984-05","8.5","39","0","0","43","0","0.0","2.19","85","4913","9.74",,"0.0","61.6","69.5","53.7",,"290",,,"293",,"21.9",,,"42.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1984-06","7.6","334","0","0","49","0","0.0","3.07","96","4923","5.76",,"0.0","74.5","82.6","66.3",,"170",,,"180",,"17.9",,,"36.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1984-07","6.9","633","0","0","59","0","0.0","3.13","91","0","7.04",,"0.0","74.7","81.2","68.1",,"210",,,"225",,"17.0",,,"34.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1984-08",,"994","0","0","60","0","0.0","0.37","92","0","1.38",,"0.0","76.6","83.6","69.7",,"230",,,"338",,"16.1",,,"32.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1984-09",,"1095","0","0","44","0","0.0","1.20","86","73","2.52",,"0.0","65.9","74.0","57.8",,"300",,,"293",,"16.1",,,"32.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1984-10",,"1118","0","0","41","0","0.0","1.45","79","196","3.63",,"0.0","61.8","68.5","55.1",,"40",,,"45",,"17.9",,,"33.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1984-11",,"1118","0","0","25","0","0.0","1.94","69","729","4.07",,"0.0","47.2","54.6","39.9",,"290",,,"293",,"19.9",,,"43.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1984-12",,"1118","1","1","25","2","4.8","0.96","70","1389","3.26",,"5.5","43.7","50.0","37.5",,"290",,,"270",,"25.9",,,"33.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1985-01",,"0","9","2","-2","4","4.1","0.30","58","2512","1.00",,"8.4","28.8","34.6","23.0",,"310",,,"225",,"23.0",,,"36.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1985-02",,"0","12","3","14","7","4.3","1.09","75","3308","2.41",,"10.0","36.6","43.0","30.1",,"310",,,"270",,"25.9",,,"48.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1985-03",,"7","0","0","22","0","0.2","0.49","82","3912","1.91",,"0.2","45.8","54.9","36.6",,"310",,,"270",,"21.0",,,"38.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1985-04",,"33","0","0","28","0","0.0","0.39","88","4223","1.42",,"0.0","55.5","64.4","46.6",,"310",,,"270",,"19.9",,,"35.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1985-05",,"123","0","0","43","0","0.0","1.66","87","4306","5.72",,"0.0","65.2","74.4","56.0",,"50",,,"360",,"21.0",,,"32.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1985-06",,"256","0","0","55","0","0.0","1.19","85","4331","4.41",,"0.0","68.6","75.8","61.3",,"290",,,"293",,"25.1",,,"32.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1985-07",,"602","0","0","61","0","0.0","2.09","92","0","4.41",,"0.0","76.2","84.0","68.3",,"190",,,"270",,"17.0",,,"30.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1985-08",,"924","0","0","62","0","0.0","0.88","95","0","2.58",,"0.0","75.4","82.4","68.4",,"20",,,"23",,"16.1",,,"26.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1985-09",,"1106","0","0","49","0","0.0","3.13","94","19","4.75",,"0.0","70.4","78.4","62.5",,"270",,,"270",,"23.0",,,"51.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1985-10",,"1127","0","0","36","0","0.0","0.78","80","212","1.30",,"0.0","59.4","67.0","51.9",,"150",,,"270",,"17.9",,,"30.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1985-11",,"1131","0","0","33","0","0.0","2.39","77","666","8.09",,"0.0","50.0","55.8","44.2",,"50",,,,,"21.9",,,"35.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1985-12",,"1131","0","0","15","0","0.4","0.27","55","1621","0.84",,"0.9","34.2","40.1","28.3",,"290",,,"270",,"28.0",,,"40.3",
